pos_group,title,jp,kr,ex1_jp,ex1_kr,ex2_jp,ex2_kr
noun,N+じゃありません,XはYじゃありません。,X는 Y가 아닙니다.,私は学生(がくせい)じゃありません。,저는 학생이 아닙니다.,それは私(わたし)のじゃありません。,그것은 제 것이 아닙니다.
noun,N+じゃありませんでした,XはYじゃありませんでした。,X는 Y가 아니었습니다.,きのうは休(やす)みじゃありませんでした。,어제는 휴일이 아니었습니다.,前(まえ)は学生(がくせい)じゃありませんでした。,전에는 학생이 아니었습니다.
noun,N+でした,XはYでした。,X는 Y였습니다.,きのうは休(やす)みでした。,어제는 휴일이었습니다.,前(まえ)は東京(とうきょう)でした。,전에는 도쿄였습니다.
noun,정도(～くらい),XはYくらいです。,X는 Y 정도입니다.,家(いえ)から駅(えき)まで10分(ぷん)くらいです。,집에서 역까지 10분 정도입니다.,日本語(にほんご)は一年(いちねん)くらい勉強(べんきょう)しました。,일본어는 1년 정도 공부했습니다.
noun,～があります/います,Xがあります。/Xがいます。,X가 있어요/있습니다.,机の上に本があります。,책상 위에 책이 있어요.,公園に子どもがいます。,공원에 아이가 있어요.
noun,～がすきです,Xがすきです。,X를 좋아해요.,私は猫がすきです。,저는 고양이를 좋아해요.,私はコーヒーがすきです。,저는 커피를 좋아해요.
noun,～です,これはXです。,이것은 X입니다.,これは本です。,이것은 책입니다.,これは私のかばんです。,이것은 제 가방입니다.
noun,～は～です,XはYです。,X는 Y예요.,私は学生です。,저는 학생이에요.,これは日本語の本です。,이것은 일본어 책이에요.
noun,～をください,Xをください。,X 주세요.,水をください。,물 주세요.,これをください。,이거 주세요.
adj_i,い形容詞＋かったです,昨日はXかったです。,어제는 ~했어요.,昨日は寒かったです。,어제는 추웠어요.,この店は安かったです。,이 가게는 쌌어요.
adj_i,い形容詞＋くて,Xくて、Yです。,"~해서, ~해요.",安くておいしいです。,싸고 맛있어요.,近くて便利です。,가깝고 편리해요.
adj_i,い形容詞＋くないです,今日はXくないです。,오늘은 ~하지 않아요.,今日は寒くないです。,오늘은 춥지 않아요.,この店は高くないです。,이 가게는 비싸지 않아요.
adj_i,い形容詞＋です,今日はXいです。,오늘은 ~해요.,今日は寒いです。,오늘은 추워요.,この店は安いです。,이 가게는 싸요.
adj_i,い형용사 과거,XはYかったです。,X는 Y(い형용사)했습니다/했습니다.,きのうは暑(あつ)かったです。,어제는 더웠습니다.,その映画(えいが)はおもしろかったです。,그 영화는 재미있었습니다.
adj_i,い형용사 과거부정,XはYくなかったです。,X는 Y(い형용사)하지 않았습니다.,きのうは寒(さむ)くなかったです。,어제는 춥지 않았습니다.,そのテストはむずかしくなかったです。,그 시험은 어렵지 않았습니다.
adj_i,い형용사 긍정,XはYいです。,X는 Y(い형용사)입니다.,この店(みせ)は安(やす)いです。,이 가게는 쌉니다.,今日(きょう)は寒(さむ)いです。,오늘은 춥습니다.
adj_i,い형용사 부정,XはYくないです。,X는 Y(い형용사)하지 않습니다.,この店(みせ)は高(たか)くないです。,이 가게는 비싸지 않습니다.,それはむずかしくないです。,그것은 어렵지 않습니다.
adj_i,비교(～より),XはYよりZいです。,X는 Y보다 Z(이)입니다.,電車(でんしゃ)はバスより早(はや)いです。,전철은 버스보다 빠릅니다.,この道(みち)はあの道(みち)より広(ひろ)いです。,이 길은 저 길보다 넓습니다.
adj_i,최고(いちばん),XがいちばんYいです。,X가 가장 Y(이)입니다.,この中(なか)で、これがいちばん安(やす)いです。,이 중에서 이것이 가장 쌉니다.,夏(なつ)がいちばん暑(あつ)いです。,여름이 가장 덥습니다.
adj_i,～はどうですか,このXはどうですか。,이 X는 어때요?.,この料理はどうですか。,이 요리는 어때요?.,この部屋はどうですか。,이 방은 어때요?.
adj_na,な形容詞＋じゃないです,Xじゃないです。,~하지 않아요.,ここはにぎやかじゃないです。,여기는 번화하지 않아요.,彼はひまじゃないです。,그는 한가하지 않아요.
adj_na,な形容詞＋で,Xで、Yです。,"~해서(이고), ~해요.",静かでいいです。,조용해서 좋아요.,便利で助かります。,편리해서 도움이 돼요.
adj_na,な形容詞＋でした,昨日はXでした。,어제는 ~했어요.,昨日は元気でした。,어제는 건강했어요.,会議は大変でした。,회의는 힘들었어요.
adj_na,な形容詞＋です,この町はXです。,이 동네는 ~해요.,この町は静かです。,이 동네는 조용해요.,彼は親切です。,그는 친절해요.
adj_na,な형용사 과거,XはYでした。,X는 Y(な형용사)였습니다.,きのうの店(みせ)はにぎやかでした。,어제의 가게는 번화했습니다.,前(まえ)の部屋(へや)はきれいでした。,이전 방은 깨끗했습니다.
adj_na,な형용사 과거부정,XはYじゃなかったです。,X는 Y(な형용사)가 아니었습니다.,きのうの店(みせ)はにぎやかじゃなかったです。,어제의 가게는 번화하지 않았습니다.,その説明(せつめい)は親切(しんせつ)じゃなかったです。,그 설명은 친절하지 않았습니다.
adj_na,な형용사 긍정,XはYなです。,X는 Y(な형용사)입니다.,この町(まち)は静(しず)かです。,이 동네는 조용합니다.,ここは便利(べんり)です。,여기는 편리합니다.
adj_na,な형용사 부정,XはYじゃないです。,X는 Y(な형용사)가 아닙니다.,ここは静(しず)かじゃないです。,여기는 조용하지 않습니다.,その話(はなし)は簡単(かんたん)じゃないです。,그 이야기는 간단하지 않습니다.
adj_na,수식(な+N),YなXです。,Y(な형용사)한 X입니다.,静(しず)かな店(みせ)が好(す)きです。,조용한 가게를 좋아합니다.,便利(べんり)なアプリです。,편리한 앱입니다.
adj_na,～がいちばん,Xがいちばんです。,X가 제일이에요.,これがいちばんです。,이게 제일이에요.,春がいちばんすきです。,봄이 제일 좋아요.
verb,가능(～てもいいです),Vてもいいです。,V해도 됩니다.,ここに置(お)いてもいいです。,여기에 놓아도 됩니다.,少(すこ)し休(やす)んでもいいです。,조금 쉬어도 됩니다.
verb,경험(～たことがあります),Vたことがあります。,V한 적이 있습니다.,日本(にほん)へ行ったことがあります。,일본에 간 적이 있습니다.,すしを食(た)べたことがあります。,스시를 먹어본 적이 있습니다.
verb,도움 요청(～てもらえますか),Vてもらえますか。,V해 줄 수 있습니까?.,これを見(み)てもらえますか。,이것을 봐 줄 수 있습니까?,手伝(てつだ)ってもらえますか。,도와줄 수 있습니까?
verb,동사 과거(ました),Vました。,V했습니다.,きのう映画(えいが)を見(み)ました。,어제 영화를 봤습니다.,朝(あさ)ごはんを食(た)べました。,아침밥을 먹었습니다.
verb,동사 과거부정(ませんでした),Vませんでした。,V하지 않았습니다.,きのうは勉強(べんきょう)しませんでした。,어제는 공부하지 않았습니다.,朝(あさ)ごはんを食(た)べませんでした。,아침밥을 먹지 않았습니다.
verb,동사 기본(ます),Vます。,V합니다.,毎日(まいにち)勉強(べんきょう)します。,매일 공부합니다.,音楽(おんがく)を聞(き)きます。,음악을 듣습니다.
verb,동사 부정(ません),Vません。,V하지 않습니다.,きょうは行きません。,오늘은 가지 않습니다.,肉(にく)は食(た)べません。,고기는 먹지 않습니다.
verb,연결(～て),Vて、Vます。,"V하고, V합니다.",朝(あさ)起(お)きて、コーヒーを飲(の)みます。,아침에 일어나서 커피를 마십니다.,駅(えき)へ行って、切符(きっぷ)を買(か)います。,역에 가서 표를 삽니다.
verb,예정(～つもりです),Vるつもりです。,V할 생각입니다.,週末(しゅうまつ)に勉強(べんきょう)するつもりです。,주말에 공부할 생각입니다.,来月(らいげつ)引(ひ)っこすつもりです。,다음 달에 이사할 생각입니다.
verb,이유(～て),Vて、X。,"V해서, X.",雨(あめ)が降(ふ)って、出(で)かけません。,비가 와서 나가지 않겠습니다.,忙(いそが)しくて、休(やす)めません。,바빠서 쉬지 못합니다.
verb,준비(～てから),Vてから、Vます。,V한 뒤에 V합니다.,仕事(しごと)が終(お)わってから、帰(かえ)ります。,일이 끝난 후에 돌아가겠습니다.,ごはんを食(た)べてから、勉強(べんきょう)します。,밥을 먹고 나서 공부합니다.
verb,～てください,Xてください。,~해 주세요.,ゆっくり話してください。,천천히 말해 주세요.,もう一度言ってください。,한 번 더 말해 주세요.
verb,～ました,昨日Xました。,어제 ~했어요.,昨日映画を見ました。,어제 영화를 봤습니다.,昨日たくさん話しました。,어제 많이 말했어요.
verb,～ましょう,いっしょにXましょう。,같이 ~해요(합시다).,いっしょに行きましょう。,같이 갑시다.,いっしょに勉強しましょう。,같이 공부해요.
verb,～ます,毎日Xます。,매일 ~합니다.,毎日勉強します。,매일 공부합니다.,駅まで歩きます。,역까지 걷습니다.
verb,～ません,今日はXません。,오늘은 ~하지 않아요.,今日は行きません。,오늘은 안 갑니다.,今日は食べません。,오늘은 안 먹어요.
basic,~도(も),XもYです。,X도 Y입니다.,私(わたし)も学生(がくせい)です。,저도 학생입니다.,これもおいしいです。,이것도 맛있습니다.
basic,가격 묻기,Xはいくらですか。,X는 얼마입니까?.,このコーヒーはいくらですか。,이 커피는 얼마입니까?,それはいくらですか。,그것은 얼마입니까?
basic,가능/불가능(できます),Vことができます。,V할 수 있습니다.,日本語(にほんご)が少し話すことができます。,일본어를 조금 말할 수 있습니다.,車(くるま)を運転(うんてん)することができません。,자동차를 운전할 수 없습니다.
basic,권유(～ませんか),Vませんか。,V하지 않겠습니까? (권유).,いっしょにひるごはんを食べませんか。,같이 점심을 먹지 않겠습니까?,週末(しゅうまつ)に会いませんか。,주말에 만나지 않겠습니까.
basic,그래서(だから),だから、Y。,그래서 Y.,だから、もう一度(いちど)やります。,그래서 한 번 더 합니다.,だから、大丈夫(だいじょうぶ)です。,그래서 괜찮습니다.
basic,그리고(それから),それから、Y。,그리고 나서 Y.,それから、家(いえ)に帰(かえ)ります。,그리고 나서 집에 돌아갑니다.,それから、シャワーを浴(あ)びます。,그리고 나서 샤워합니다.
basic,금지(～てはいけません),Vてはいけません。,V하면 안 됩니다.,ここでたばこをすってはいけません。,여기서 담배를 피우면 안 됩니다.,うそをついてはいけません。,거짓말을 하면 안 됩니다.
basic,범위(～から～まで),XからYまでです。,X부터 Y까지입니다.,営業時間(えいぎょうじかん)は9時(くじ)から6時(ろくじ)までです。,영업시간은 9시부터 6시까지입니다.,東京(とうきょう)から大阪(おおさか)まで新幹線(しんかんせん)で行きます。,도쿄에서 오사카까지 신칸센으로 갑니다.
basic,부탁하기(～てください),Vてください。,V해 주세요.,もういちど言ってください。,한 번 더 말해 주세요.,ゆっくり話してください。,천천히 말해 주세요.
basic,선택(～か),XかYです。,X인지 Y인지입니다 / X 또는 Y입니다.,コーヒーかおちゃにします。,커피나 차로 하겠습니다.,行(い)くか行(い)かないか、まだわかりません。,갈지 안 갈지 아직 모르겠습니다.
basic,소유(～の),XのYです。,X의 Y입니다.,これは私(わたし)のほんです。,이것은 제 책입니다.,田中(たなか)さんの車(くるま)です。,다나카 씨의 자동차입니다.
basic,시간(～に),XにVます。,X에 V합니다(시간).,7時(しちじ)に起(お)きます。,7시에 일어납니다.,あした10時(じゅうじ)に会(あ)います。,내일 10시에 만납니다.
basic,위치(～にあります／います),XはYにあります／います。,X는 Y에 있습니다/있어요.,トイレは右(みぎ)にあります。,화장실은 오른쪽에 있습니다.,犬(いぬ)はへやにいます。,강아지는 방에 있습니다.
basic,의문문(ですか),XはYですか。,X는 Y입니까?.,これはあなたのかばんですか。,이것은 당신의 가방입니까?,きょうはやすみですか。,오늘은 휴일입니까?
basic,의문사(いつ),Xはいつですか。,X는 언제입니까?.,しけんはいつですか。,시험은 언제입니까?,しゅっぱつはいつですか。,출발은 언제입니까?
basic,의문사(どこ),Xはどこですか。,X는 어디입니까?.,トイレはどこですか。,화장실은 어디입니까?,えきはどこですか。,역은 어디입니까?
basic,의문사(なに),Xは何(なん)ですか。,X는 무엇입니까?.,これは何ですか。,이것은 무엇입니까?,ごしゅみは何ですか。,취미는 무엇입니까?
basic,이동(～へ／～に),Xへ／に行(い)きます。,X로/에 갑니다.,駅(えき)へ行きます。,역으로 갑니다.,会社(かいしゃ)に行きます。,회사에 갑니다.
basic,이동수단(～で),Xで行きます。,X로 갑니다(교통수단).,バスで行きます。,버스로 갑니다.,電車(でんしゃ)で学校(がっこう)へ行きます。,전철로 학교에 갑니다.
basic,이유(～から),Xから、Y。,"X이니까, Y.",ねむいから、もう寝(ね)ます。,졸리니까 이제 자겠습니다.,時間(じかん)がないから、急(いそ)ぎます。,시간이 없으니까 서두릅니다.
basic,이해/모름,Xがわかります。,X를 압니다/이해합니다.,日本語(にほんご)が少しわかります。,일본어를 조금 압니다.,その意味(いみ)がわかりません。,그 의미를 모르겠습니다.
basic,장소(～で),XでVます。,X에서 V합니다.,図書館(としょかん)で勉強(べんきょう)します。,도서관에서 공부합니다.,家(いえ)でごはんを食(た)べます。,집에서 밥을 먹습니다.
basic,제안(～ましょうか),Vましょうか。,V할까요? (제안/도움).,にもつをもちましょうか。,짐을 들까요.,いっしょに行きましょうか。,함께 갈까요.
basic,존재(있어요/없어요),Xがあります／います。,X가 있습니다/있어요(사물/사람·동물).,コンビニがあります。,편의점이 있습니다.,先生(せんせい)がいます。,선생님이 있습니다.
basic,하지만(でも),でも、Y。,하지만 Y.,行(い)きたいです。でも、時間(じかん)がありません。,가고 싶습니다. 하지만 시간이 없습니다.,高(たか)いです。でも、おいしいです。,비쌉니다. 하지만 맛있습니다.
basic,함께(～と),XとVます。,X와 V합니다.,友(とも)だちと話(はな)します。,친구와 이야기합니다.,家族(かぞく)と食事(しょくじ)します。,가족과 식사합니다.
basic,허가(～てもいいですか),Vてもいいですか。,V해도 됩니까?.,ここにすわってもいいですか。,여기에 앉아도 됩니까?,しゃしんをとってもいいですか。,사진을 찍어도 됩니까?
basic,현재 진행(～ています),Vています。,V하고 있습니다 / V해 있습니다.,いま勉強(べんきょう)しています。,지금 공부하고 있습니다.,いま雨(あめ)が降(ふ)っています。,지금 비가 내리고 있습니다.
basic,희망 부정(～たくない),Vたくないです。,V하고 싶지 않습니다.,今日はあまり外(そと)に出たくないです。,오늘은 별로 밖에 나가고 싶지 않습니다.,辛(から)いものは食べたくないです。,매운 것은 먹고 싶지 않습니다.
basic,희망(～たい),Vたいです。,V하고 싶습니다.,日本(にほん)へ行きたいです。,일본에 가고 싶습니다.,コーヒーを飲みたいです。,커피를 마시고 싶습니다.
basic,희망/요청(～ほしい),Xがほしいです。,X가 갖고 싶습니다 / 필요합니다.,新(あたら)しいノートがほしいです。,새 노트가 필요합니다.,水(みず)がほしいです。,물이 필요합니다.
other,すみません,すみません。+お願い,죄송합니다/실례합니다.,すみません、もう一度。,"죄송한데, 한 번 더요.",すみません、道を教えてください。,실례하지만 길 좀 알려 주세요.
other,そして/それから,そして、X。/それから、X。,그리고 / 그 다음에.,そして、帰ります。,그리고 돌아가요.,それから、寝ます。,그 다음에 자요.
other,だから/でも,だから、X。/でも、X。,그래서 / 하지만.,だから、行きません。,그래서 안 가요.,でも、行きたいです。,하지만 가고 싶어요.
other,ちょっと/すこし,ちょっとX。/すこしX。,조금 / 약간.,ちょっと難しいです。,조금 어려워요.,すこし待ってください。,조금만 기다려 주세요.
other,もう/まだ,もうX。/まだX。,이미 / 아직.,もう食べました。,이미 먹었어요.,まだ食べていません。,아직 안 먹었어요.
