qid,level,tag,tag_kr,sub,sub_kr,situation_kr,partner_jp,partner_mp3,partner_kr,answer_jp,answer_mp3,answer_kr,d1_jp,d2_jp,d3_jp,hint_kr,mode,section,stage,explain_kr
R001,N4,aisatsu,인사말,meetup,언어교환(모임),언어교환 모임에서 처음 인사를 받았을 때,はじめまして。,01.mp3,처음 뵙겠습니다.,はじめまして。よろしくお願いします。,11.mp3,"처음 뵙겠습니다, 잘 부탁드립니다.",こんばんは。,お疲れさまです。,いただきます。,처음 만났을 때는 인사 + 잘 부탁드립니다가 자연스럽습니다.,real,1,1,‘はじめまして’ 뒤에는 보통 ‘よろしくお願いします’를 붙여 관계를 시작합니다.
R002,N4,aisatsu,인사말,meetup,언어교환(모임),상대가 'よろしくお願いします'라고 말했을 때,よろしくお願いします。,02.mp3,잘 부탁드립니다.,こちらこそ、よろしくお願いします。,12.mp3,저야말로 잘 부탁드립니다.,さようなら。,どういたしまして。,すみません。,같이 잘 부탁한다는 표현을 떠올려 보세요.,real,1,1,"‘こちらこそ’는 “저야말로”라는 뜻으로, 첫 만남에서 매우 자주 쓰입니다."
R003,N4,aisatsu,인사말,meetup,언어교환(모임),상대가 일본어 공부 여부를 물었을 때,日本語を勉強していますか。,03.mp3,일본어를 공부하고 있나요.,はい、勉強しています。,13.mp3,"네, 공부하고 있습니다.",いいえ、韓国です。,ありがとうございます。,大丈夫です。,Yes/No로 짧게 안정적으로 답해보세요.,real,1,1,질문에는 구조를 그대로 살려 ‘勉強しています’로 응답하는 것이 자연스럽습니다.
R004,N4,aisatsu,인사말,meetup,언어교환(모임),서울에서 왔는지 물었을 때,ソウルから来ましたか。,04.mp3,서울에서 오셨나요.,はい、ソウルから来ました。,14.mp3,"네, 서울에서 왔습니다.",よろしくお願いします。,どこですか。,こんばんは。,어디에서 왔는지 말해보세요.,real,1,1,‘〜から来ました’는 출신을 말할 때 기본 패턴입니다.
R005,N4,aisatsu,인사말,meetup,언어교환(모임),오늘 처음인지 물었을 때,今日は初めてですか。,05.mp3,오늘 처음이신가요.,はい、初めてです。,15.mp3,"네, 처음입니다.",どうも。,失礼します。,さようなら。,질문에 나온 단어를 그대로 활용해보세요.,real,1,1,‘初めてですか’에는 ‘初めてです’로 응답하는 것이 가장 안정적입니다.
R006,N4,aisatsu,인사말,meetup,언어교환(모임),일본을 좋아하는지 물었을 때,日本は好きですか。,06.mp3,일본을 좋아하시나요.,はい、とても好きです。,16.mp3,"네, 매우 좋아합니다.",はじめまして。,すみません。,いただきます。,감정을 짧게 표현해보세요.,real,1,1,‘とても’는 간단하지만 감정을 확실하게 전달해 줍니다.
R007,N4,aisatsu,인사말,meetup,언어교환(모임),얼마나 공부했는지 물었을 때,どのくらい勉強していますか。,07.mp3,얼마나 공부했나요.,一年ぐらいです。,17.mp3,1년 정도입니다.,韓国から来ました。,大丈夫です。,こんばんは。,기간을 짧게 말해보세요.,real,1,1,‘ぐらい’는 대략적인 기간을 말할 때 매우 자주 쓰입니다.
R008,N4,aisatsu,인사말,meetup,언어교환(모임),오늘 일하는지 물었을 때,今日は仕事ですか。,08.mp3,오늘 일하셨나요.,いいえ、今日は休みです。,18.mp3,"아니요, 오늘은 쉽니다.",ありがとうございます。,よろしくお願いします。,どうも。,Yes/No 뒤에 간단한 정보 추가가 자연스럽습니다.,real,1,1,‘今日は休みです’는 일상 대화에서 매우 자주 쓰입니다.
R009,N4,aisatsu,인사말,meetup,언어교환(모임),일본 문화에 관심 있는지 물었을 때,日本文化に興味がありますか。,09.mp3,일본 문화에 관심이 있나요.,はい、あります。,19.mp3,"네, 있습니다.",初めてです。,失礼します。,さようなら。,관심 표현을 짧게 말해보세요.,real,1,1,‘興味があります’는 관심 표현의 기본 구조입니다.
R010,N4,aisatsu,인사말,meetup,언어교환(모임),모임이 끝나고 감사 인사를 들었을 때,今日はありがとうございました。,10.mp3,오늘 감사합니다.,こちらこそ、ありがとうございました。,20.mp3,저야말로 감사합니다.,どうも。,こんばんは。,いただきます。,함께 감사하는 표현을 떠올려보세요.,real,1,1,헤어질 때는 ‘こちらこそ’로 응답하면 관계가 부드럽게 마무리됩니다.
R011,N4,aisatsu,인사말,first_meeting,첫만남(자기소개),언어교환 모임에서 이름을 물어볼 때,お名前は何ですか。,21.mp3,이름이 뭐예요.,私はミナです。,31.mp3,저는 미나예요.,私はミナでした。,私がミナです。,韓国から来ました。,이름 + です 형태로 간단히 말하면 됩니다.,real,1,1,자기 이름을 말할 때는 ‘私は〜です’가 가장 기본입니다.
R012,N4,aisatsu,인사말,first_meeting,첫만남(자기소개),언어교환 모임에서 출신지를 물어볼 때,どこから来ましたか。,22.mp3,어디에서 왔어요.,ソウルから来ました。,32.mp3,저는 서울에서 왔어요.,私はソウルに来ました。,私はソウルから来ます。,映画が好きです。,출발 지점(출신)은 から를 써서 말합니다.,real,1,1,‘〜から来ました’는 “~에서 왔습니다/왔어요”라는 기본 자기소개 표현입니다.
R013,N4,aisatsu,인사말,first_meeting,첫만남(자기소개),언어교환 모임에서 현재 거주지를 말할 때,今はどこに住んでいますか。,23.mp3,지금 어디에 살아요.,今はソウルに住んでいます。,33.mp3,지금은 서울에 살아요.,今はソウルから住んでいます。,今はソウルに住みます。,日本語を勉強しています。,거주지는 ‘〜に住んでいます’로 말합니다.,real,1,1,현재 살고 있는 장소는 ‘に + 住んでいます’가 자연스럽습니다.
R014,N4,aisatsu,인사말,first_meeting,첫만남(자기소개),언어교환 모임에서 직업을 말할 때,お仕事は何ですか。,24.mp3,직업이 뭐예요.,会社員です。,34.mp3,회사원이에요.,会社員でした。,会社員がです。,ソウルから来ました。,직업은 ‘명사 + です’로 간단히 말합니다.,real,1,1,직업/신분은 명사 뒤에 ‘です’를 붙이면 됩니다.
R015,N4,aisatsu,인사말,first_meeting,첫만남(자기소개),언어교환 모임에서 일본어 공부 기간을 말할 때,日本語はどのくらい勉強していますか。,25.mp3,일본어는 얼마나 공부했어요.,まだ三か月ぐらいです。,35.mp3,아직 3개월 정도예요.,まだ三か月にです。,まだ三か月でした。,会社員です。,초보 느낌은 ‘まだ + 기간 + ぐらいです’가 자연스럽습니다.,real,1,1,"‘まだ’는 “아직”의 뉘앙스를 주고, ‘ぐらい’는 “정도”를 부드럽게 표현합니다."
R016,N4,aisatsu,인사말,first_meeting,첫만남(자기소개),언어교환 모임에서 일본어를 공부하는 이유를 말할 때,どうして日本語を勉強しているんですか。,26.mp3,왜 일본어를 공부해요.,日本人の友だちを作りたいからです。,36.mp3,일본인 친구를 사귀고 싶어서예요.,日本人の友だちを作りたいですから。,日本人の友だちが作りたいからます。,ソウルに住んでいます。,이유는 ‘〜たい + からです’로 말하면 자연스럽습니다.,real,1,1,"‘〜たい’는 “~하고 싶다”이고, ‘からです’를 붙이면 이유 설명이 됩니다."
R017,N4,aisatsu,인사말,first_meeting,첫만남(자기소개),언어교환 모임에서 취미를 말할 때,趣味は何ですか。,27.mp3,취미가 뭐예요.,映画を見ることが好きです。,37.mp3,영화 보는 걸 좋아해요.,映画を見ることを好きです。,映画を見ることが好きでした。,日本語は三か月です。,동사를 취미로 말할 땐 ‘〜ことが好きです’가 편합니다.,real,1,1,"‘〜こと’로 동작을 명사처럼 만들고, ‘好きです’로 취향을 말합니다."
R018,N4,aisatsu,인사말,first_meeting,첫만남(자기소개),언어교환 모임에서 나이를 말할 때,おいくつですか。,28.mp3,몇 살이에요.,25歳です。,38.mp3,25살이에요.,25歳がです。,25歳でした。,日本語を勉強しています。,나이는 ‘숫자 + 歳 + です’로 말합니다.,real,1,1,나이를 물을 때는 「何歳ですか」보다 「おいくつですか」가 더 자연스럽습니다.
R019,N4,aisatsu,인사말,first_meeting,첫만남(자기소개),언어교환이 처음인지 물어볼 때,言語交換は初めてですか。,29.mp3,언어교환은 처음이에요.,はい、今日が初めてです。,39.mp3,"네, 오늘이 처음이에요.",はい、今日に初めてです。,はい、今日が初めてでした。,ソウルから来ました。,‘今日が初めてです’는 “오늘이 처음이에요”로 자연스럽습니다.,real,1,1,‘〜が初めてです’는 “~가 처음이다”를 말할 때 자주 쓰는 형태입니다.
R020,N4,aisatsu,인사말,first_meeting,첫만남(자기소개),언어교환 모임에서 오늘 느낌을 말할 때,今日のエクスチェンジはどうですか。,30.mp3,오늘 언어교환 어때요.,とても楽しいです。,40.mp3,정말 즐거워요.,とても楽しいですか。,とても楽しみでした。,会社員です。,‘楽しみです’는 “기대돼요/즐거울 것 같아요” 뉘앙스입니다.,real,1,1,"‘楽しいです’는 “지금 즐거워요”, ‘楽しみです’는 “기대돼요”라서 상황에 맞게 고릅니다."
R021,N4,aisatsu,인사말,reason,이유(동기),공부 이유를 물을 때,日本語を勉強しようと思ったきっかけは何ですか。,41.mp3,일본어를 공부하게 된 계기는 무엇인가요,日本のアニメが好きだからです。,51.mp3,일본 애니메이션을 좋아하기 때문입니다,日本のアニメが好きです,日本のアニメを見ます,日本のアニメでした,이유는 ‘〜からです’로 말하면 자연스럽습니다.,real,1,1,〜からです 패턴으로 이유를 말하는 표현입니다
R022,N4,aisatsu,인사말,reason,이유(동기),공부 이유를 물을 때,日本語で何をしたいですか。,42.mp3,일본어로 무엇을 하고 싶나요,日本人と話したいです。,52.mp3,일본인과 이야기하고 싶습니다,日本人と話します,日本人を話したいです,日本人で話したいです,좋아하는 것을 이유로 말하면 편합니다.,real,1,1,〜たいです는 하고 싶은 일을 말할 때 사용합니다
R023,N4,aisatsu,인사말,reason,이유(동기),공부 이유를 물을 때,日本語の勉強は楽しいですか。,43.mp3,일본어 공부는 재미있나요,はい、とても楽しいです。,53.mp3,"네, 매우 재미있습니다",はい、楽しいです,はい、とても楽しいでした,はい、とても楽しいだ,Yes/No 뒤에 이유를 덧붙여 보세요.,real,1,1,楽しいです는 즐겁다라는 의미의 형용사입니다
R024,N4,aisatsu,인사말,reason,이유(동기),공부 이유를 물을 때,日本語は難しいですか。,44.mp3,일본어는 어렵나요,はい、少し難しいです。,54.mp3,"네, 조금 어렵습니다",はい、難しいです,はい、少し難しいでした,はい、難しいだ,‘好きだからです’ 형태로 말해보세요.,real,1,1,少し를 사용하면 조금이라는 의미를 더합니다
R025,N4,aisatsu,인사말,reason,이유(동기),공부 이유를 물을 때,日本語を勉強してよかったことはありますか。,45.mp3,일본어 공부해서 좋았던 점이 있나요,日本の文化がもっと分かるようになりました。,55.mp3,일본 문화를 더 이해하게 되었습니다,日本の文化が分かりません,日本の文化が分かりました,日本の文化が分かるです,일본에 대한 관심을 이유로 말해보세요.,real,1,1,〜ようになりました는 변화된 상태를 말할 때 사용합니다
R026,N4,aisatsu,인사말,reason,이유(동기),공부 이유를 물을 때,日本のどんなところが好きですか。,46.mp3,일본의 어떤 점이 좋나요,日本の食べ物が好きです。,56.mp3,일본 음식이 좋습니다,日本の食べ物が好きでした,日本の食べ物が好きだ,日本の食べ物を好きです,하고 싶은 일을 이유로 말해도 자연스럽습니다.,real,1,1,好きです는 좋아하는 것을 말할 때 사용합니다
R027,N4,aisatsu,인사말,reason,이유(동기),공부 이유를 물을 때,日本に行ったことがありますか。,47.mp3,일본에 가본 적이 있나요,いいえ、まだありません。,57.mp3,"아니요, 아직 없습니다",いいえ、ありますか,いいえ、まだあります,いいえ、まだありませんでした,‘まだ + ありません’으로 경험이 없다고 말할 수 있습니다.,real,1,1,まだありません은 아직 경험이 없다는 의미입니다
R028,N4,aisatsu,인사말,reason,이유(동기),공부 이유를 물을 때,日本に行ったら何をしたいですか。,48.mp3,일본에 가면 무엇을 하고 싶나요,京都へ行ってみたいです。,58.mp3,교토에 가보고 싶습니다,京都へ行きたいですか,京都は行きたくないです,京都で行きたいです,가보고 싶은 곳은 ‘〜へ行ってみたいです’로 말해보세요.,real,1,1,〜てみたい는 한번 해보고 싶다는 의미입니다
R029,N4,aisatsu,인사말,reason,이유(동기),공부 이유를 물을 때,日本の映画やドラマを見ますか。,49.mp3,일본 영화나 드라마를 보나요,はい、よく見ます。,59.mp3,"네, 자주 봅니다",はい、見ません,いいえ、見ます,はい、よく見るです,‘よく’ 같은 부사를 넣으면 더 자연스럽습니다.,real,1,1,よく는 자주라는 의미의 부사입니다
R030,N4,aisatsu,인사말,reason,이유(동기),공부 이유를 물을 때,これからも日本語を勉強したいですか。,50.mp3,앞으로도 일본어 공부를 하고 싶나요,はい、もっと勉強したいです。,60.mp3,"네, 더 공부하고 싶습니다",はい、勉強しますか,はい、もっと勉強しません,はい、もっと勉強でした,앞으로 하고 싶은 일은 ‘もっと + 〜たいです’로 말하면 좋습니다.,real,1,1,もっと는 더라는 의미의 부사입니다
R031,N4,aisatsu,인사말,hobby,취미(관심사),취미를 말할 때(영화),趣味は何ですか。,61.mp3,취미가 뭐예요?,映画を見るのが好きです。,71.mp3,영화 보는 걸 좋아해요.,映画を見るが好きです。,映画を見たいです。,音楽を食べるのが好きです。,취미는 ‘〜のが好きです’로 말하면 자연스럽습니다.,real,1,1,趣味を聞かれたら「〜のが好きです」で 답하면 가장 자연스럽습니다.
R032,N4,aisatsu,인사말,hobby,취미(관심사),취미를 말할 때(휴일),休みの日は何をしますか。,62.mp3,쉬는 날은 뭐 해요?,休みの日は家で映画を見たり、友だちと遊んだりします。,72.mp3,쉬는 날엔 집에서 영화를 보거나 친구랑 놀아요.,休みの日は、映画を見ました。,休みの日はありますか。,休みの日は家で映画を見たり、友だちと遊んだりです。,‘〜たり、〜たりします’로 예를 들어 말하면 자연스럽습니다.,real,1,1,「AたりBたりします」は ‘A도 하고 B도 한다’처럼 예시를 나열할 때 쓰는 표현입니다.
R033,N4,aisatsu,인사말,hobby,취미(관심사),취미를 말할 때(음악),音楽はよく聞きますか。,63.mp3,음악 자주 들어요?,もちろん、聞きますよ。,73.mp3,"그럼요, 들어요.",いいえ、よく聞いてくださいよ。,もちろん、見ますよ。,はい、たまに見ます。,강하게 긍정할 때는 ‘もちろん’이 자연스럽습니다.,real,1,1,「もちろん」は ‘당연하죠/그럼요’ 뉘앙스로 강한 긍정을 표현합니다.
R034,N4,aisatsu,인사말,hobby,취미(관심사),취미를 말할 때(음악 취향),どんな音楽が好きですか。,64.mp3,어떤 음악 좋아해요?,だいたい何でも好きですが、特にバラードが好きです。,74.mp3,대부분 다 좋아하지만 특히 발라드가 좋아요.,だいたい何でも嫌いです。,バラードがすきですか。,だいたい何でも好きだからです。,‘だいたい’로 완곡하게 말하고 ‘特に’로 강조해보세요.,real,1,1,「だいたい何でも〜ですが、特に〜」는 취향을 부드럽게 말하는 매우 자연스러운 회화 패턴입니다.
R035,N4,aisatsu,인사말,hobby,취미(관심사),취미를 말할 때(운동),スポーツはしますか。,65.mp3,운동해요?,いいえ、スポーツはあまりしません。,75.mp3,"아니요, 운동은 별로 안 해요.",はい、料理は大好きです。,いいえ、毎日します。,いいえ、スポーツはあまりします。,부정은 ‘あまり〜ません’으로 부드럽게 말해보세요.,real,1,1,"「あまり〜ません」은 ‘별로 ~하지 않아요’로, 회화에서 가장 많이 쓰는 부정 완화 표현입니다."
R036,N4,aisatsu,인사말,hobby,취미(관심사),취미를 말할 때(좋아하는 스포츠),好きなスポーツはありますか。,66.mp3,좋아하는 스포츠 있어요?,見るだけなら、サッカーが好きです。,76.mp3,보기만 한다면 축구가 좋아요.,サッカーは嫌いです。,見るだけなら、サッカーをします。,テニスは好きではありません。,‘〜だけなら’로 범위를 좁혀 말하면 자연스럽습니다.,real,1,1,「〜だけなら」は ‘~만이라면’으로 조건을 붙여 말할 때 자주 씁니다.
R037,N4,aisatsu,인사말,hobby,취미(관심사),취미를 말할 때(독서),本は読みますか。,67.mp3,책 읽어요?,マンガが好きなので、時々読みます。,77.mp3,만화를 좋아해서 가끔 읽어요.,いいえ、あまり聞きません。,マンガが好きから、時々読みます。,マンガが好きので、時々読みます。,이유를 붙일 땐 ‘〜ので’로 부드럽게 말해보세요.,real,1,1,「〜ので」는 이유를 부드럽게 설명할 때 자주 쓰며 ‘だから’보다 공손한 느낌입니다.
R038,N4,aisatsu,인사말,hobby,취미(관심사),취미를 말할 때(요리),料理はしますか。,68.mp3,요리해요?,はい、毎日します。,78.mp3,"네, 매일 해요.",あまり食べたくないです。,はい、毎日食べます。,あなたもですか。,빈도는 ‘毎日/時々/たまに’로 짧게 말해보세요.,real,1,1,「毎日します」처럼 빈도 부사를 넣으면 답이 더 자연스럽고 구체적입니다.
R039,N4,aisatsu,인사말,hobby,취미(관심사),취미를 말할 때(단것),甘いものは好きですか。,69.mp3,단 거 좋아해요?,甘いものなら、何でも好きです。,79.mp3,단 거라면 뭐든 좋아요.,いいえ、辛いものは苦手です。,甘いものは高いです。,甘いものは食べたくないですか。,‘〜なら、何でも〜’로 범위를 넓게 말해보세요.,real,1,1,「〜なら、何でも〜」는 ‘~라면 뭐든’이라는 자연스러운 회화 표현입니다.
R040,N4,aisatsu,인사말,hobby,취미(관심사),취미를 말할 때(요즘 빠진 것),最近、何にハマっていますか。,70.mp3,요즘 뭐에 빠져 있어요?,最近はアニメにハマっています。,80.mp3,요즘은 애니메이션에 빠져 있어요.,昨日は家で休みました。,最近は何もしたくないです。,最近はアニメがハマっています。,‘ハマっています’로 ‘요즘 빠져 있다’를 말해보세요.,real,1,1,「ハマっています」는 ‘요즘 푹 빠져 있어요’라는 뜻으로 캐주얼하지만 매우 자주 쓰입니다.
R041,N4,aisatsu,인사말,reaction,리액션(반응),리액션을 말할 때(첫인사),はじめまして。,81.mp3,처음 뵙겠습니다.,はじめまして。よろしくお願いします。,91.mp3,처음 뵙겠습니다. 잘 부탁드립니다.,はじめまして。よろしくします。,こんばんは。,はじめまして。ありがとうございました。,처음 인사 뒤에는 ‘よろしくお願いします’로 자연스럽게 이어가세요.,real,1,1,"‘はじめまして’는 첫 만남 인사이며, 뒤에 ‘よろしくお願いします’를 붙여 관계를 시작하는 것이 자연스럽습니다."
R042,N4,aisatsu,인사말,reaction,리액션(반응),리액션을 말할 때(칭찬),日本語、上手ですね。,82.mp3,일본어 잘하시네요!,いえいえ、まだまだです。,92.mp3,"아니에요, 아직 멀었어요.",いえいえ、まだまだます。,はい、そうです。,すみません、わかりません。,칭찬을 받으면 ‘いえいえ、まだまだです’로 겸손하게 받아보세요.,real,1,1,칭찬을 받을 때 ‘いえいえ’로 부정하고 ‘まだまだです’로 겸손하게 마무리하면 매우 자연스럽습니다.
R043,N4,aisatsu,인사말,reaction,리액션(반응),리액션을 말할 때(거주지 확인),ソウルに住んでいるんですね。,83.mp3,서울에 사는군요.,はい、ソウルに住んでいます。,93.mp3,"네, 서울에 살고 있어요.",はい、ソウルを住んでいます。,いいえ、日本に住んでいます。,はい、ソウルに住んでいました。,거주지는 ‘〜に住んでいます’로 현재형으로 답해보세요.,real,1,1,"거주지 표현은 ‘〜に住んでいます’가 기본이며, 장소에는 조사 ‘に’를 사용합니다."
R044,N4,aisatsu,인사말,reaction,리액션(반응),리액션을 말할 때(공감),それは大変ですね。,84.mp3,힘들겠네요.,そうなんです。ちょっと大変です。,94.mp3,그러게요. 좀 힘들어요.,そうなんです。ちょっと大変ました。,いいえ、全然大変です。,そうなんです。ちょっと大変にです。,공감받았을 때는 ‘そうなんです’로 받아주고 한마디 덧붙여 보세요.,real,1,1,"‘そうなんです’는 상대 공감에 ‘맞아요’로 받는 표현이고, ‘ちょっと’로 강도를 완화하면 자연스럽습니다."
R045,N4,aisatsu,인사말,reaction,리액션(반응),리액션을 말할 때(축하),それはよかったですね。,85.mp3,그거 다행이네요.,ありがとうございます。よかったです。,95.mp3,감사합니다. 다행이에요.,ありがとうございます。よかったでした。,すみません。,ありがとうございます。大変です。,축하/다행 표현에는 ‘ありがとうございます。よかったです’로 짧게 받아보세요.,real,1,1,"‘よかったです’는 ‘다행이에요’ 뉘앙스이며, ‘ありがとうございます’와 같이 쓰면 더 자연스럽습니다."
R046,N4,aisatsu,인사말,reaction,리액션(반응),리액션을 말할 때(공통점),私もそうです。,86.mp3,저도 그래요.,本当ですか。一緒ですね。,96.mp3,정말요? 똑같네요.,本当ですか。いっしょにですか。,そうですか。違いますね。,本当ですか。一緒はです。,공통점이 나오면 ‘一緒ですね’로 바로 연결해보세요.,real,1,1,"‘一緒ですね’는 ‘같네요’라는 뜻으로, 공통점을 발견했을 때 매우 자연스럽게 대화를 이어줍니다."
R047,N4,aisatsu,인사말,reaction,리액션(반응),리액션을 말할 때(감탄),すごいですね！,87.mp3,대단하네요!,いえいえ、そんなことないですよ。,97.mp3,"아니에요, 그런 거 아니에요.",いえいえ、そんなことありますよ。,いえいえ、そんなことないですか。,ありがとうございます。すごいです。,감탄을 들으면 ‘そんなことないですよ’로 겸손하게 받아보세요.,real,1,1,"‘そんなことないですよ’는 ‘그런 거 아니에요’로, 칭찬/감탄을 부드럽게 부정하는 대표 표현입니다."
R048,N4,aisatsu,인사말,reaction,리액션(반응),리액션을 말할 때(관심),それ、面白そうですね。,88.mp3,그거 재밌어 보이네요.,ですよね。私もそう思います。,98.mp3,그렇죠. 저도 그렇게 생각해요.,ですよね。私もそう思うです。,はい、もっと勉強しません,すみません、スポーツが好きです。,상대 말에 동의할 때는 ‘ですよね。私もそう思います’가 자연스럽습니다.,real,1,1,‘ですよね’로 공감하고 ‘私もそう思います’로 의견을 겹치면 대화가 매끄럽게 이어집니다.
R049,N4,aisatsu,인사말,reaction,리액션(반응),리액션을 말할 때(초대),今度いっしょに行きませんか。,89.mp3,다음에 같이 가지 않을래요?,いいですね。行きましょう。,99.mp3,좋네요. 같이 가요.,いいですね。行きません。,いいですね。行くます。,すみません。行けませんでした。,초대에는 ‘行きましょう’로 긍정 답을 짧게 확정해보세요.,real,1,1,‘行きませんか’ 제안에는 ‘いいですね。行きましょう’처럼 바로 동의하면 자연스럽습니다.
R050,N4,aisatsu,인사말,reaction,리액션(반응),리액션을 말할 때(마무리),今日はありがとうございました。,90.mp3,오늘 감사했습니다.,こちらこそ、ありがとうございました。,100.mp3,저야말로 감사합니다.,こちらこそ、ありがとうございません。,はじめまして。,こちらこそ、ありがとうございましたでした。,마무리 감사에는 ‘こちらこそ’로 ‘저야말로’를 붙여보세요.,real,1,1,"‘こちらこそ’는 ‘저야말로’로, 감사/인사에 대해 예의 있게 되돌려주는 표현입니다."
R051,N4,daily,일상,korea_talk,한국 이야기,한국을 소개할 때(살기 좋은 점),韓国って、どんなところが住みやすいですか。,101.mp3,한국은 어떤 점이 살기 좋아요?,交通が便利で、生活しやすいと思います。,111.mp3,교통이 편리해서 살기 좋다고 생각해요.,交通が便利で、生活しやすくです。,交通が便利から、生活しやすいと思います。,交通に便利で、生活しやすいと思います。,살기 좋은 점은 ‘便利/生活しやすい’처럼 말해보세요.,real,2,1,‘住みやすい’는 ‘살기 좋다’라는 뜻입니다. ‘交通が便利で’처럼 이유를 붙이면 자연스럽습니다.
R052,N4,daily,일상,korea_talk,한국 이야기,한국을 소개할 때(추천 지역),ソウルでおすすめの場所ってありますか。,102.mp3,서울에서 추천하는 지역이 있어요?,弘大（ホンデ）はにぎやかで楽しいですよ。,112.mp3,홍대는 활기차고 재미있어요.,にぎやかで楽しいところが多います。,にぎやかで楽しかったと思います。,ホンデはにぎやかで楽しいでした。,추천할 때는 ‘〜は〜ですよ’로 소개하면 자연스럽습니다.,real,2,1,추천할 때는 ‘〜は…ですよ’로 말하면 부드럽게 들립니다. ‘にぎやか/楽しい’는 자주 쓰는 표현입니다.
R053,N4,daily,일상,korea_talk,한국 이야기,한국을 소개할 때(음식(매운맛)),韓国の食事って、辛いものが多いですよね。,103.mp3,한국 음식은 매운 게 많죠?,そうですね。でも辛くない食べ物もたくさんあります。,113.mp3,그렇죠. 하지만 안 매운 음식도 많아요.,そうですね。辛いものが多いです。,そうですね。でも辛くないもたくさんです。,そうですね。でも辛くない食べ物も多いからです。,"공감은 ‘そうですね’, 덧붙임은 ‘でも’로 연결해보세요.",real,2,1,‘そうですね’로 공감한 뒤 ‘でも’로 반대 정보를 덧붙이면 대화가 자연스럽게 이어집니다.
